World 1900  1627883132 3503708176384.000                  3286.408 5349.888                           45.360 73.840                                      144.328 234.949                                       
World 1901  1638647517                 1.808 96.707 3323.836 5446.595                         10.817 7.988 49.936 81.828                                    11.870 27.889 160.399 262.838                                       
World 1902  1651840077                 2.420 131.829 3377.097 5578.424                         9.761 7.988 54.373 89.816                                    8.580 22.551 172.770 285.389                                       
World 1903  1665703540                 9.122 508.836 3654.468 6087.260                         8.893 7.988 58.716 97.803                                    6.887 19.655 183.132 305.043                                       
World 1904  1679752718                 0.509 30.981 3642.347 6118.242                         8.167 7.988 62.980 105.791                                    12.292 37.495 203.922 342.538                                       
World 1905  1693984163                 7.809 477.760 3893.780 6596.002                         7.550 7.988 67.166 113.779                                    -1.647 -5.641 198.879 336.898                                       
World 1906  1708411294                 5.601 369.474 4077.166 6965.476                         7.020 7.988 71.275 121.766                                    -0.400 -1.349 196.410 335.549                                       
World 1907  1723032738                 10.617 739.536 4471.773 7705.012                         6.560 7.988 75.306 129.754                                    23.648 79.351 240.796 414.900                                       
World 1908  1737874788                 -4.964 -382.440 4213.521 7322.571                         6.156 7.988 79.259 137.742                                    8.107 33.634 258.094 448.534                                       
World 1909  1752122665                 4.493 328.970 4367.012 7651.541                         5.799 7.988 83.173 145.729                                    5.079 22.783 268.998 471.317                                       
World 1910  1767847653                 5.366 410.572 4560.412 8062.113                         8.138 11.860 89.142 157.589                                    8.767 41.321 289.979 512.639                                       
World 1911  1778784032                 1.781 143.599 4613.102 8205.712                         5.315 8.376 93.303 165.965                                    5.923 30.366 305.267 543.005                                       
World 1912  1791197929                 4.938 405.229 4807.365 8610.941                         5.047 8.376 97.332 174.342                                    1.611 8.746 308.034 551.750                                       
World 1913  1803056235                 7.149 615.565 5117.149 9226.507                         4.805 8.376 101.338 182.718                                    10.255 56.580 337.388 608.330                                       
World 1914  1815104863                 -10.248 -945.524 4562.261 8280.982                         4.584 8.376 105.280 191.094                                    3.002 18.259 345.208 626.590                                       
World 1915  1827290389                 -1.581 -130.907 4460.197 8150.075                         4.383 8.376 109.162 199.471                                    7.337 45.973 368.066 672.563                                       
